Publish Date,Average
2009-01-01,-0.2957485263546308
2009-01-02,-0.169913723715581
2009-01-03,-0.25085588321089747
2009-01-04,-0.24870507954619825
2009-01-05,-0.047597756416633226
2009-01-06,-0.06946535612786969
2009-01-07,-0.44876578201850253
2009-01-08,-0.21128820386630567
2009-01-09,-0.20509002487071687
2009-01-10,-0.3617591814448436
2009-01-11,-0.2806034135632217
2009-01-12,-0.194454308298807
2009-01-13,-0.32904414843235696
2009-01-14,-0.3781967839307111
2009-01-15,-0.2598140498739667
2009-01-16,-0.24964277690742165
2009-01-17,-0.1358564936866363
2009-01-18,-0.25471149740571325
2009-01-19,-0.36085095979047543
2009-01-20,-0.3768987520597875
2009-01-21,-0.3429962600416997
2009-01-22,-0.35772242106315566
2009-01-23,-0.31673098889154355
2009-01-24,-0.3360044560395181
2009-01-25,-0.07003021732504879
2009-01-26,-0.29369214599808824
2009-01-27,-0.3347299562501056
2009-01-28,-0.22664663932741957
2009-01-29,-0.31105680248521744
2009-01-30,-0.29925440869680264
2009-01-31,-0.6251107681542635
2009-02-01,-0.23923118742690844
2009-02-02,-0.19421202735975382
2009-02-03,-0.1361290387188395
2009-02-04,-0.2077816605654567
2009-02-05,-0.2616593226945649
2009-02-06,-0.18631329517811537
2009-02-07,-0.04157669423148037
2009-02-08,-0.19120113895489618
2009-02-09,-0.08190975666400932
2009-02-10,-0.24726005177944899
2009-02-11,-0.3310600812546909
2009-02-12,-0.28895432005325955
2009-02-13,-0.32685658722184596
2009-02-14,-0.2198233018414332
2009-02-15,-0.19974017341155562
2009-02-16,-0.31976507588600117
2009-02-17,-0.16046012106041113
2009-02-18,-0.23730564676225185
2009-02-19,-0.2792292968096102
2009-02-20,-0.3946210757829249
2009-02-21,0.043313809980948775
2009-02-22,-0.1854980599421721
2009-02-23,-0.024509094500293344
2009-02-24,-0.3635921908323379
2009-02-25,-0.2056196164339781
2009-02-26,-0.08142611192648902
2009-02-27,-0.3614182200420786
2009-02-28,-0.4687987019618352
2009-03-01,-0.24694077842510664
2009-03-02,-0.2695078525825271
2009-03-03,-0.27710224833572283
2009-03-04,0.0662243406705815
2009-03-05,-0.3595302229481084
2009-03-06,-0.3280748085265881
2009-03-07,-0.22006695453698435
2009-03-08,-0.1748514266477691
2009-03-09,-0.07706790594827562
2009-03-10,-0.16535761964417273
2009-03-11,-0.31603467858263423
2009-03-12,-0.39698260820337705
2009-03-13,-0.07448432047385721
2009-03-14,0.13683991453477315
2009-03-15,-0.2890796706510278
2009-03-16,-0.24757469969335943
2009-03-17,-0.1544355976170507
2009-03-18,-0.35997914069810427
2009-03-19,-0.18976506693778852
2009-03-20,-0.35819076986185144
2009-03-21,-0.5313161940624317
2009-03-22,-0.21661928705871106
2009-03-23,0.07593071008367196
2009-03-24,-0.20554597573798328
2009-03-25,-0.2697713318205363
2009-03-26,-0.30500111638435295
2009-03-27,-0.35522412217687815
2009-03-28,-0.1447740672156215
2009-03-29,-0.24376694023095327
2009-03-30,-0.09977070445364174
2009-03-31,-0.3505763290449977
2009-04-01,-0.30503028218767475
2009-04-02,-0.16874220930039882
2009-04-03,-0.2768603506333688
2009-04-04,-0.05672194508628714
2009-04-05,0.03403193131089209
2009-04-06,-0.27108451001571887
2009-04-07,-0.13980096106284431
2009-04-08,-0.36836602082797165
2009-04-09,-0.1702372976220571
2009-04-10,-0.39376453017549856
2009-04-11,-0.1362143384390756
2009-04-12,-0.12442131293937565
2009-04-13,-0.2946176257294913
2009-04-14,-0.22642665154611072
2009-04-15,-0.21811387925569353
2009-04-16,-0.1400065819822973
2009-04-17,-0.020258459230435306
2009-04-18,0.05205751872724956
2009-04-19,-0.023528880129257846
2009-04-20,-0.12176628177985549
2009-04-21,-0.210190160629841
2009-04-22,-0.3020448975265026
2009-04-23,-0.32365704229211106
2009-04-24,-0.02563727786764501
2009-04-25,-0.3896284391613383
2009-04-26,-0.2306232714595703
2009-04-27,-0.15735667323072752
2009-04-28,-0.2680946535741289
2009-04-29,-0.11782615683558914
2009-04-30,-0.17195000960713344
2009-05-01,-0.1298867385420534
2009-05-02,-0.21269282673796017
2009-05-03,-0.47455119798806583
2009-05-04,-0.23203461728990077
2009-05-05,-0.22610681814452016
2009-05-06,0.044860932298681946
